id,ita-IT,ger-DE,eng-GB
c2c36377aee8526680b3d3ecbe9358a4,"Modulistica assunzioni",,
32dff630ef694ce0feb2345cf28aeba5,"Modulistica attività extralavorative",,
392e0909fcf6995b1ef5623e1ae1d11d,"Modulistica cessazione dal servizio",,
bd35d0374e90d3d6f61e0d183b9d443c,"Modulistica formazione professionale",,
67a398ca8e4d12afd1cfb82e8d89e7af,"Modulistica iscrizioni infanzia",,
2d5baab2c9b775cdd301ab6c49a94684,"Modulistica part-time",,
097ea52031cf9651415d54717007643a,"Modulistica servizio CONVITTI",,
08e075c18d085956fd77c0b66396d08e,"Modulistica stipendi",,
603c74e8c723aeadd6296cf62c8bdafc,"Modulistica trasferimenti e passaggi",,
dc86f19f50f7406e564d90f319b7d727,"Mondo del lavoro",,
7b99536447bb5b685fd3b68fb296db6e,"Negozi multiservizi",,
3bbb3b10f46e41c184e62f04218fb094,"Nidi d'infanzia",,
2bbb8967919492ad8cf6620b472b66f6,"Nucleo di controllo",,
0d1b24cdf9ac71520fa36f445610faa9,"Offerta formativa",,
5774c385313970614b98e91ac7566244,"Opera Commissariale Borgo est",,
431d019df638cea5141f0850834a5499,"Opera Commissariale Ciclovia del Garda",,
16eac830d384c4a07784b2d2507d45db,"Opera Commissariale Pinzolo Campiglio",,
d37cf86c901fcc0d439c8ee3d9ac4ea7,"Opera Commissariale Polo ospedaliero",,
e84a85ab8c7bfb9cd325237b758e23b1,"Opera Commissariale Spini di Gardolo",,
a1229c86193a408873c2745b32e5f7e4,"Opera Commissariale Valsugana",,
70a511e5dc0ec33d29c26a772482eb5f,"Opera Commissariale Viabilità Ravina",,
11175b4de59cbb8ab70d13207a2f82d0,"Opera Commissariale variante Ponte Arche",,
a9f10dc98130e9b1eaf1e330b76a6111,Organici,,
7dcc6f14badc430de6d2e0ec47105141,"Organico di diritto",,
5ab0fce492237988c970755e739a2c11,"Organizzazione turistica",,
e33f0591028469146696577d9a742e53,Orientamento,,
5c99f0a4c8ee1af378a3fa73ee65b99b,"Orientamento al mondo del lavoro",,
936c65f58a6cb7b4f282bdd3bd25fec3,"Orientamento allo studio",,
f71f2fd17a6bd9a5942b6f68a51990a9,Orso,,
8b0d2be0e108b1d4aba9e8ae1f2fdfb6,"Pace e solidarietà",,
ad5fe1a6bfe6128968ebd450edd8d7e5,Part-time,,
da2f665dbb2a54ff9e5c2c5832478338,"Partecipazione al sistema educativo",,
66eb4d88f370626e3c909a6d88613041,"Percorsi linguistici full immersion per docenti",,
513d0d4753d9689ad159afe5cd5011d0,"Permessi per il diritto allo studio",,
5a971dc1e1f1adac21ad815a07d12f58,"Personale e segretari comunali",,
58ef299447807b80627ea511b0dbc357,"Piani di accumulo",,
cb58a18cfe68e1c9a1857710c443fb69,"Piani di studio",,
44cad288d5b3ebb70d9178f0e4c487d1,"Piani di studio PRIMO CICLO",,
a78f43ae46afc9fa2d8f827121fcdd1e,"Piani di studio SECONDO CICLO",,
e68f40f921822a16d95f35ddc0a6eb6c,"Pianificazione energetica",,
c029212d67a0f7d4a3b4e3f9d9f953e2,"Piste da sci",,
ffb2341719b8ade2b67a2fa1f7bc9a01,"Polizze assicurative RC insegnanti",,
a791ec6643b8b9496582ff72d2564f02,"Polizze assicurative studenti",,
1fa210bee9428b752f6ac1e96f8b539d,"Posta Elettronica Certificata (PEC)",,
9c195d6774092a499515b60924140ba5,"Previdenza e TFR (Trattamento di fine rapporto)",,
26f782ce86ba7e9d1b681c7ab7da5c60,"Procedimenti sanzionatori",,
70addfd5d196e1ae9235efe5da099277,"Progetti ponte",,
d435c5520a09570ee66eb05cb4fb8995,"Progetto TU SEI",,
4f208eaa194e1fad58361b0a914b5b62,"Programma annuale della scuola dell'infanzia",,
8aaf31f0f4284ca662eaf7d09bc10c7b,"Progressioni verticali",,
25af9c6cddd65d057ddb5f513744b374,"Proposte educative e didattiche",,
fc35c73cfde1110227c3d35ca612fda9,"Proposte formative per i docenti",,
66772cec8bb31932356ae173615c5c1b,"Protocolli di intesa",,
50a95e21283facf57115f0eca36a2b92,"Prova concorso",,
8454b7032b9e92ca4b98873360db1d71,"Pubblici esercizi",,
cc749bbf0fc64690f0a06a3eac4bdfb5,"Quadri di disponibilità",,
b2d90e15df00448569939f9ed0ff7d55,Residenza,,
3674f70e01f33bc7b02df6dd339f7cf0,Revisori,,
894586c88a8836648902ed025298bd64,"Ricettività alberghiera",,
06ca140ba5dc18c2aab01f33e8908acc,"Ricettività all'aperto",,
fcbaa52a115d4922f8636ca23b3f27cb,"Ricettività extralberghiera",,
1230f36909ad917d06789afe8c6193d9,"Riconoscimento parità formativa",,
d42536e43a3f558024484b98a9592004,"Riconoscimento titoli di studio",,
b5c84b0ed4fcb363e6d457e31aa38998,"Rifugi alpini",,
9adf16df6d38623b2854aa3808880cb8,"Rifugi escursionistici",,
977f130990ebed683f0a36d390ff7e82,"Riqualificazione energetica",,
06de87ceb5a939678ea09ee1bd10edd4,"Risorse termali",,
d07608fc2e73c1662291bcd7a5f92b35,"Risparmio energetico",,
a06003f9c38744e319833278232aae3b,"Risultati campionati studenteschi",,
261309f59b385a8fda424b760a3bfd49,"Rocce e materiali lapidei",,
778cbaf2c1a239a06a649b908fcc6f37,"Sciacallo dorato",,
24c577aa2dfc02886243ee03282b3712,Sciopero,,
5a628dec58a95cc6c39fcb201ebfd883,"Scuola e cultura della sicurezza",,
